timestamp,icao24,callsign,lat,lon,baroaltitude_ft,groundspeed_kts,heading_deg,vertical_rate_fpm,onground
1747753200,A1B2C3,DAL1234,42.3656,-71.0596,0,0,228.053798834822,0,1
1747753205,A1B2C3,DAL1234,42.3656,-71.0596,34.2918634925448,0,221.647780505719,411.502361910537,1
1747753210,A1B2C3,DAL1234,42.3656,-71.0596,0,0,225.752397499318,-411.502361910537,1
1747753215,A1B2C3,DAL1234,42.3656,-71.0596,32.6544786643438,0,230.833323988114,391.853743972125,1
1747753220,A1B2C3,DAL1234,42.3656,-71.0596,57.5579121377944,0,223.165204223966,298.841201681407,1
1747753225,A1B2C3,DAL1234,42.3656,-71.0596,4.33317403680739,0,224.984247090302,-638.696857211844,1
1747753230,A1B2C3,DAL1234,42.3656,-71.0596,0.0812837199321598,0,225.701501753954,-51.0226838025027,1
1747753235,A1B2C3,DAL1234,42.3656,-71.0596,0,0,223.330429230809,-0.975404639185917,1
1747753240,A1B2C3,DAL1234,42.3656,-71.0596,0,0,230.850255481307,0,1
1747753245,A1B2C3,DAL1234,42.3656,-71.0596,0,0,224.961435477797,0,1
1747753250,A1B2C3,DAL1234,42.3656,-71.0596,42.6714846764361,0,224.942529079253,512.057816117233,1
1747753255,A1B2C3,DAL1234,42.3656,-71.0596,37.8394298591774,0,227.639228967053,-57.9846578071045,1
1747753260,A1B2C3,DAL1234,42.3656,-71.0596,0,0,222.877544795141,-454.073158310129,1
1747753265,A1B2C3,DAL1234,42.3656,-71.0596,0,0,228.955208212472,0,1
1747753270,A1B2C3,DAL1234,42.3656,-71.0596,0,0,222.452237365193,0,1
1747753275,A1B2C3,DAL1234,42.3656,-71.0596,77.9387756589919,0,224.148651420281,935.265307907903,1
1747753280,A1B2C3,DAL1234,42.3656,-71.0596,0,0,224.934995374822,-935.265307907903,1
1747753285,A1B2C3,DAL1234,42.3656,-71.0596,0,0,224.845697196157,0,1
1747753290,A1B2C3,DAL1234,42.3656,-71.0596,48.5374322450878,0,223.391115288656,582.449186941054,1
1747753295,A1B2C3,DAL1234,42.3656,-71.0596,0,0,224.314935007269,-582.449186941054,1
1747753300,A1B2C3,DAL1234,42.3656,-71.0596,11.170362251771,0,223.89559357684,134.044347021252,1
1747753305,A1B2C3,DAL1234,42.3656,-71.0596,104.019896310697,0,228.994128733994,1114.19440870712,0
1747753310,A1B2C3,DAL1234,42.3656,-71.0596,0,0,227.988352327605,-1248.23875572837,1
1747753315,A1B2C3,DAL1234,42.3656,-71.0596,10.3501104237981,0,225.185280794568,124.201325085578,1
1747753320,A1B2C3,DAL1234,42.3656,-71.0596,111.801910110075,0,228.495429006452,1217.42159623533,0
1747753325,A1B2C3,DAL1234,42.360881350703,-71.0660072426964,317.257354806236,420.354005729309,227.290417556386,2465.46533635393,0
1747753330,A1B2C3,DAL1234,42.3561627398645,-71.072411841226,743.879946972491,415.160234923342,224.888936220286,5119.47110599505,0
1747753335,A1B2C3,DAL1234,42.351444205941,-71.0788137957984,1143.50379730279,425.807617717419,225.299099932077,4795.48620396355,0
1747753340,A1B2C3,DAL1234,42.3467257873849,-71.0852131067634,1498.16293228769,436.967792374122,222.567464637022,4255.90961981879,0
1747753345,A1B2C3,DAL1234,42.3420075226427,-71.0916097746102,1849.39954263736,409.436235945867,228.845422119673,4214.83932419614,0
1747753350,A1B2C3,DAL1234,42.3372894501524,-71.098003799968,2177.7045635729,415.279700723733,228.785390170289,3939.66025122643,0
1747753355,A1B2C3,DAL1234,42.332571608342,-71.1043951836058,2590.97981075417,411.129372932601,226.898549502056,4959.30296617525,0
1747753360,A1B2C3,DAL1234,42.3278540356275,-71.1107839264321,2926.9387252305,420.243452435543,227.565994807179,4031.50697371595,0
1747753365,A1B2C3,DAL1234,42.3231367704103,-71.1171700294953,3330.44068446919,428.584526289037,228.113724410712,4842.02351086426,0
1747753370,A1B2C3,DAL1234,42.3184198510759,-71.1235534939832,3688.31612086722,431.91905871437,229.754909975044,4294.50523677637,0
1747753375,A1B2C3,DAL1234,42.3137033159912,-71.1299343212232,4123.00086969314,411.649310387297,227.322454896416,5216.21698591111,0
1747753380,A1B2C3,DAL1234,42.308987203503,-71.1363125126824,4522.19428457979,412.00574478469,228.28381869892,4790.32097863977,0
1747753380,A4D5E6,JBU567,42.3656,-71.0346,0,0,222.041960959641,0,1
1747753385,A1B2C3,DAL1234,42.3042715519356,-71.1426880699668,4797.07730280899,424.25601999043,223.669016246537,3298.59621875042,0
1747753385,A4D5E6,JBU567,42.3656,-71.0346,0,0,221.34685606579,0,1
1747753390,A1B2C3,DAL1234,42.2995563995891,-71.1490609948222,5191.52734568554,422.820536426154,226.764396525642,4733.40051451853,0
1747753390,A4D5E6,JBU567,42.3656,-71.0346,8.83938603543323,0,223.756698488611,106.072632425199,1
1747753395,A1B2C3,DAL1234,42.294841784737,-71.1554312891333,5539.58309882602,404.060497348984,228.465832069473,4176.66903768584,0
1747753395,A4D5E6,JBU567,42.3656,-71.0346,0,0,220.55106855273,-106.072632425199,1
1747753400,A1B2C3,DAL1234,42.2901277456245,-71.1617989549241,5918.26469105031,423.423040460574,226.079839548885,4544.17910669147,0
